sp	Genus	Species	Family	SampleSize	PC1score	PC2score	PFT_1axis	PFT_2axes	mu1_1	mu2_1	mu3_1	mu4_1	G1_1	G2_1	G3_1	G4_1	F_1	mu1_2	mu2_2	mu3_2	mu4_2	G1_2	G2_2	G3_2	G4_2	F_2	wd
ACACME	Vachellia	melanoceras	Fabaceae	66	0.239796805	1.099479084	2	3	0.0214	0.0147	0.02	0.0297	3.1236	1.1205	0.5641	0.4758	0.0166	0.0166	0.0095	0.0146	0.0236	3.8992	1.3626	0.7476	0.5937	0.0163	0.678
ACALDI	Acalypha	diversifolia	Euphorbiaceae	2500	-1.965849955	-0.620495572	1	2	0.0308	0.0305	0.0636	0.0838	4.7434	2.6659	1.0111	0.7438	1.152	0.0355	0.039	0.0759	0.0954	4.1853	2.3872	0.8625	0.6564	1.1941	0.3
ACALMA	Acalypha	macrostachya	Euphorbiaceae	323	-2.292844925	-0.688486442	1	2	0.0325	0.034	0.0754	0.0977	5.0465	3.0314	1.1025	0.7947	0.0959	0.0381	0.0447	0.0919	0.1129	4.392	2.6819	0.9242	0.6918	0.1005	0.3
ADE1TR	Adelia	triloba	Euphorbiaceae	1464	-0.692184416	-0.404221877	2	5	0.025	0.02	0.0326	0.046	3.7266	1.6161	0.7218	0.5746	0.0662	0.0274	0.0235	0.0366	0.0501	3.4348	1.504	0.6508	0.5297	0.067	0.604
AEGIPA	Aegiphila	panamensis	Lamiaceae	534	-0.506814552	-1.048671018	2	4	0.0242	0.0188	0.0296	0.0422	3.598	1.5026	0.6873	0.5535	0.0318	0.0308	0.0286	0.04	0.0526	2.912	1.2468	0.5254	0.4481	0.0328	0.657
ALCHCO	Alchornea	costaricensis	Euphorbiaceae	1648	-2.305442681	1.098340551	1	2	0.0326	0.0341	0.0759	0.0983	5.0585	3.0465	1.1061	0.7967	0.1501	0.0253	0.0221	0.0554	0.078	6.3133	3.704	1.4655	0.994	0.1409	0.301
ALCHLA	Alchornea	latifolia	Euphorbiaceae	11	-0.383890663	1.226569376	2	3	0.0237	0.0181	0.0278	0.0398	3.5152	1.4317	0.6653	0.5398	9.00E-04	0.0179	0.0111	0.0195	0.0307	4.5022	1.7809	0.9109	0.6911	9.00E-04	0.42
ALIBED	Alibertia	edulis	Rubiaceae	1566	2.063166177	-1.639176124	3	1	0.0159	0.0081	0.0077	0.0126	2.2113	0.5473	0.3482	0.3288	0.2086	0.0231	0.0154	0.0123	0.0178	1.5887	0.4089	0.2288	0.2364	0.2118	0.76
ALLOPS	Allophylus	psilospermus	Sapindaceae	837	-1.05262931	0.764874134	1	2	0.0265	0.0226	0.0394	0.0545	3.9899	1.862	0.7941	0.6182	0.0736	0.0222	0.0166	0.0317	0.0464	4.6557	2.1335	0.9659	0.7211	0.0718	0.513
ALSEBL	Alseis	blackiana	Rubiaceae	4000	2.366613107	0.85390399	3	1	0.0151	0.0073	0.0066	0.0109	2.0878	0.4858	0.3213	0.3092	3.5612	0.0124	0.0052	0.0052	0.0091	2.4803	0.5655	0.3999	0.3673	3.5419	0.536
AMAICO	Amaioua	corymbosa	Rubiaceae	161	0.71341707	0.518801162	2	5	0.0198	0.0126	0.0156	0.0238	2.8555	0.9302	0.4977	0.4322	0.0043	0.0176	0.0102	0.0135	0.0213	3.1706	1.0202	0.5684	0.4798	0.0043	0.625
ANACEX	Anacardium	excelsum	Anacardiaceae	152	-1.202751661	2.825274078	1	3	0.0272	0.0237	0.0426	0.0585	4.105	1.9752	0.8262	0.6372	0.0048	0.0141	0.0077	0.019	0.0323	7.2586	3.2654	1.7036	1.1256	0.0044	0.391
