"sp"	"G1"	"G2"	"G3"	"G4"	"mu1"	"mu2"	"mu3"	"mu4"	"F"	"wd"
"1"	"ACACME"	0.38992	0.13626	0.07476	0.05937	0.0166	0.0095	0.0146	0.0236	1.338	0.678
"2"	"ACALDI"	0.41853	0.23872	0.08625	0.06564	0.0355	0.039	0.0759	0.0954	10.0628	0.3
"3"	"ACALMA"	0.4392	0.26819	0.09242	0.06918	0.0381	0.0447	0.0919	0.1129	10.6491	0.3
"4"	"ADE1TR"	0.34348	0.1504	0.06508	0.05297	0.0274	0.0235	0.0366	0.0501	8.5954	0.604
"5"	"AEGIPA"	0.2912	0.12468	0.05254	0.04481	0.0308	0.0286	0.04	0.0526	20.1818	0.657
"6"	"ALCHCO"	0.63133	0.3704	0.14655	0.0994	0.0253	0.0221	0.0554	0.078	1.0484	0.301
"7"	"ALCHLA"	0.45022	0.17809	0.09109	0.06911	0.0179	0.0111	0.0195	0.0307	1.0685	0.42
"8"	"ALIBED"	0.15887	0.04089	0.02288	0.02364	0.0231	0.0154	0.0123	0.0178	55.6093	0.76
"9"	"ALLOPS"	0.46557	0.21335	0.09659	0.07211	0.0222	0.0166	0.0317	0.0464	1.823	0.513
"10"	"ALSEBL"	0.24803	0.05655	0.03999	0.03673	0.0124	0.0052	0.0052	0.0091	2.2586	0.536
"11"	"AMAICO"	0.31706	0.10202	0.05684	0.04798	0.0176	0.0102	0.0135	0.0213	2.9739	0.625
"12"	"ANACEX"	0.72586	0.32654	0.17036	0.11256	0.0141	0.0077	0.019	0.0323	0.1242	0.391
"13"	"ANAXPA"	0.21097	0.06087	0.03332	0.03165	0.0215	0.014	0.0139	0.0205	18.7071	0.53
"14"	"ANDIIN"	0.23226	0.05458	0.03688	0.03444	0.0139	0.0063	0.0061	0.0104	3.85	0.642
"15"	"ANNOAC"	0.1639	0.04439	0.02395	0.02447	0.0245	0.0172	0.0143	0.0202	59.7339	0.518
"16"	"ANNOSP"	0.5946	0.46803	0.14003	0.09524	0.0439	0.0606	0.165	0.1938	6.397	0.559
"17"	"APEIME"	0.71229	0.39554	0.17007	0.11184	0.0205	0.0153	0.0405	0.0609	0.3943	0.278
"18"	"APEITI"	0.52365	0.2781	0.11409	0.08187	0.0255	0.0218	0.0472	0.0661	1.9066	0.2
"19"	"APHESI"	0.36164	0.15944	0.06958	0.05581	0.0264	0.0221	0.0356	0.0493	6.5824	0.652
"20"	"APPUSE"	0.2934	0.1023	0.0519	0.0446	0.0217	0.0149	0.0193	0.0285	6.9689	0.558
