species_binomial	lma	nmass	pmass	wsg	dmax	hmax	ah
Dipteryx_odorata	115.4	0.0226	0.0008317	0.819	1.03	50.92	0.308
Conceveiba_guianensis	86.66	0.0235	0.0007295	0.537	0.23	33.3	0.16
Eschweilera_decolorans	116.5	0.0226	0.0005603	0.716	0.4	34.78	0.147
Tapirira_guianensis	89.69	0.019	0.00109	0.559	0.46	50.92	0.308
Agonandra_silvatica	90.77	0.033	0.0018653	0.628	0.2	50.92	0.308
Cecropia_obtusa	69.53	0.0276	0.0013827	0.388	0.35	50.92	0.308
Theobroma_subincanum	84.33	0.0188	0.000589	0.553	0.28	41.38	0.211
Couepia_caryophylloides	98.67	0.0171	0.0006778	0.752	0.39	50.92	0.308
Ptychopetalum_olacoides	76.48	0.0272	0.0008268	0.638	0.28	50.92	0.308
Chrysophyllum_lucentifolium	86.38	0.034	0.0009193	0.662	0.94	50.92	0.308
Cordia_sagotii	134.37	0.0253	0.0005916	0.443	0.47	36.36	0.139
Protium_guianense	77.32	0.0161	0.0004251	0.701	0.11	50.92	0.308
Sacoglottis_guianensis	165.26	0.0128	0.0003707	0.733	0.42	50.92	0.308
Laetia_procera	102.28	0.0248	0.0010139	0.582	0.67	50.92	0.308
Licania_alba	138.36	0.0141	0.0003925	0.755	0.42	40.33	0.207
Protium_subserratum	77.29	0.0137	0.00043	0.514	0.25	50.92	0.308
Inga_pezizifera	71.42	0.0305	0.0014	0.565	0.29	50.92	0.308
Pouteria_laevigata	52.8	0.0333	0.0015496	0.675	0.58	50.92	0.308
Protium_guianense.1	77.32	0.0161	0.0004251	0.701	0.11	50.92	0.308
Simaba_cedron	104.8	0.0208	0.000737	0.445	0.17	50.92	0.308
Helicostylis_pedunculata	88.7	0.0236	0.0006517	0.5	0.42	50.92	0.308
Protium_demerarense	69.04	0.0185	0.000721	0.592	0.22	50.92	0.308
Pouteria_hispida	73.89	0.0218	0.0005667	0.741	0.4	50.92	0.308
Lecythis_poiteaui	85.98	0.0276	0.0005868	0.695	0.61	49.23	0.27
Schefflera_decaphylla	148.95	0.0164	0.0004345	0.45	0.34	50.92	0.308
Trattinnickia_demerarae	177.45	0.0183	0.0006738	0.537	0.32	50.92	0.308
Pouteria_flavilatex	86.2	0.0181	0.0006126	0.666	0.21	50.92	0.308
Quararibea_duckei	50.81	0.0328	0.0010321	0.527	0.14	19.38	0.07
Lecythis_persistens	130.09	0.0189	0.0004985	0.685	0.32	54.22	0.339
Eperua_grandiflora	134.8	0.0152	0.0006276	0.677	0.67	44.77	0.218
Chimarrhis_turbinata	76.76	0.0275	0.00107	0.593	0.84	50.92	0.308
Pouteria_cuspidata	96.91	0.0179	0.0004634	0.749	0.26	50.92	0.308
Sextonia_rubra	113.84	0.0177	0.0006281	0.492	0.85	46.74	0.28
Micropholis_venulosa	74.74	0.0198	0.0005557	0.583	0.39	50.92	0.308
Licania_heteromorpha	118.26	0.0146	0.0003967	0.778	0.23	50.92	0.308
Chrysophyllum_sanguinolentum	151.41	0.0154	0.000469	0.566	0.67	50.92	0.308
Ambelania_acida	110.07	0.0137	0.0003054	0.443	0.19	57.26	0.42
Eschweilera_grandiflora	123.98	0.0232	0.00116	0.628	0.81	54.04	0.342
Thyrsodium_guianense	122.47	0.0149	0.000447	0.629	0.3	50.92	0.308
Carapa_procera	130.13	0.0177	0.0006356	0.55	0.49	41.42	0.187
Pouteria_melanopoda	149.98	0.0198	0.0006126	0.678	0.57	50.92	0.308
Amaioua_guianensis	70.9	0.019	0.00044	0.722	0.14	50.92	0.308
Symplocos_martinicensis	56.57	0.0243	0.0006069	0.498	0.25	50.92	0.308
Ptychopetalum_olacoides.1	76.48	0.0272	0.0008268	0.638	0.28	50.92	0.308
Licania_heteromorpha.1	118.26	0.0146	0.0003967	0.778	0.23	50.92	0.308
Tachigali_melinonii	75.96431	0.034	0.00054	0.736	0.4	51.76	0.346
Pouteria_benai	76.32	0.0125	0.0005545	0.66	0.26	50.92	0.308
Trichilia_cipo	76.12	0.0267	0.0010236	0.715	0.13	50.92	0.308
Licania_membranacea	127.69	0.0163	0.0003884	0.785	0.56	43.24	0.196
Lacunaria_jenmanii	153.78	0.0132	0.0003902	0.783	0.23	50.92	0.308
Couepia_joaquinae	74.36	0.0254	0.0005379	0.753	0.14	50.92	0.308
Licania_membranacea.1	127.69	0.0163	0.0003884	0.785	0.56	43.24	0.196
Anacardium_spruceanum	66.96	0.0263	0.0008898	0.457	0.28	50.92	0.308
Eschweilera_micrantha	98.5	0.0208	0.0008613	0.741	0.29	50.92	0.308
Eschweilera_chartaceifolia	72.35	0.024	0.00068	0.717	0.32	50.92	0.308
Virola_michelii	95.15	0.024	0.000631	0.476	0.62	46.18	0.229
Protium_morii	82.75	0.0219	0.0011702	0.435	0.26	50.92	0.308
Iryanthera_sagotiana	91.02	0.0193	0.0005287	0.522	0.37	44.27	0.264
Neea_floribunda	74.27	0.036	0.0007652	0.451	0.28	50.92	0.308
Dialium_guianense	75.57	0.0206	0.0005694	0.658	0.55	50.92	0.308
Caryocar_glabrum	84.25	0.0217	0.0008129	0.612	1.15	48.6	0.275
Couma_guianensis	86.58	0.018	0.0007816	0.496	0.56	50.92	0.308
Licaria_cannella	97.93	0.0338	0.0021584	0.673	0.65	50.92	0.308
Protium_tenuifolium	132.94	0.0157	0.0005552	0.602	0.2	50.92	0.308
